title,artist,original_language,corrected_language
"Ghungroo (From ""War"")","Arijit Singh, Shilpa Rao",English,Hindi
Drunk Me,Mitchell Tenpenny,Hindi,English
Algo Me Gusta De Ti,"Wisin & Yandel, Chris Brown, T-Pain",Hindi,English
You Make Me Feel... (feat. Sabi),"Cobra Starship, Sabi",Hindi,English
No Me Acostumbro,"Wisin, Ozuna, Reik, Los Legendarios, Miky Woodz",Hindi,English
Si Me Tomo una Cerveza - Remix,"Migrantes, Oscu, Rombai, Agapornis, Alico, Nico Valdi",Hindi,English
No Se Me Quita (feat. Ricky Martin),"Maluma, Ricky Martin",Hindi,English
Come Away With Me,Norah Jones,Hindi,English
Don't Hate Me,Lola Young,Hindi,English
Banking On Me,Gunna,Hindi,English
Me and the Devil,Soap&Skin,Hindi,English
Hear Me Tonight,"Alok, THRDL!FE",Hindi,English
Saiyaan Ji,"Yo Yo Honey Singh, Neha Kakkar, Nushrratt Bharuccha",English,Hindi
Buy Me a Boat,Chris Janson,Hindi,English
Show Me Up,Lil Tecca,Hindi,English
Me Gustas,Joan Sebastian,Hindi,English
Call Me,Blondie,Hindi,English
maybe (feat. Bring Me The Horizon),Machine Gun Kelly,Hindi,English
Tie Me Down (with Elley Duh),"Gryffin, Elley Duh",Hindi,English
Lean On Me,Sandro Cavazza,Hindi,English
Dile Que Tu Me Quieres,Ozuna,Hindi,English
She Hates Me,Puddle Of Mudd,Hindi,English
I Bet You Think About Me (feat. Chris Stapleton) (Taylors Version) (From The Vault),Taylor Swift,Hindi,English
Hit Me With Your Best Shot,Pat Benatar,Hindi,English
sTraNgeRs,Bring Me The Horizon,Hindi,English
"Tum Tum (From ""Enemy - Tamil"")",Thaman S,Hindi,Telugu
Esquece de Me Esquecer,"Z Felipe, Gusttavo Lima",Hindi,English
Feel Me,"Rich Music LTD, Sech, Dalex, Justin Quiles, Lenny Tavrez, Feid, Mariah Angeliq",Hindi,English
Blame It On Me,Post Malone,Hindi,English
"O Bedardeya (From ""Tu Jhoothi Main Makkaar"")",Pritam,English,Hindi
No Se Da Cuenta,"Ozuna, Daddy Yankee",Hindi,English
Rescue Me,"Marshmello, A Day To Remember",Hindi,English
Sue Me,Sabrina Carpenter,Hindi,English
Start Wit Me (feat. Gunna),"Roddy Ricch, Gunna",Hindi,English
Cooler Than Me (feat. Big Sean),"Mike Posner, Big Sean",Hindi,English
Tus Jefes No Me Quieren,Grupo Ensamble,Hindi,English
What's Going On,Marvin Gaye,Hindi,English
Me Vs Me,Moneybagg Yo,Hindi,English
No Me Acuerdo,"Thalia, Natti Natasha",Hindi,English
