title,artist,mood,energy,valence,tempo,language,album_art,preview_url
Oopiri Aaguthunnadey,Revanth,surprise,0.8,0.6,130,Telugu,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/e7/69/41/e769411f-3254-3078-db60-ef38034e156b/cover.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/72/6d/5f/726d5fe6-f1ea-125d-9a9e-286462f07e2b/mzaf_14083879703415486905.plus.aac.p.m4a
Telisiney Na Nuvvey,Revanth,love,0.4,0.8,95,Telugu,https://is1-ssl.mzstatic.com/image/thumb/Music114/v4/33/4a/60/334a600d-85b6-6a04-d8a5-ee923ce6d198/cover.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/33/7b/35/337b3506-4206-05b4-ea5c-538a6f3fc4c8/mzaf_3407878696096329720.plus.aac.p.m4a
Hey Hey,Revanth,happiness,0.8,0.8,120,Telugu,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/5d/2a/c3/5d2ac359-40be-87be-948e-a68610126eb0/cover.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/8e/a4/84/8ea484c2-c2a9-1bf9-aa87-cee22b3bd271/mzaf_5534121151672968945.plus.aac.p.m4a
Neekosam,Revanth,happiness,0.8,0.8,120,Telugu,https://is1-ssl.mzstatic.com/image/thumb/Music60/v4/55/35/a3/5535a300-06ac-9563-cf58-27e2d88de571/cover.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/40/52/2d/40522de2-130b-36f3-866b-c8fe48bde520/mzaf_13496286416775243001.plus.aac.p.m4a
Raja the Great (Title Song),"Ravi Teja, Revanth & Saketh",surprise,0.8,0.6,130,Telugu,https://is1-ssl.mzstatic.com/image/thumb/Music118/v4/96/0a/34/960a34f7-2f0d-c79e-19fb-6afb1aa29894/cover.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/8d/2b/b3/8d2bb36a-04da-b328-3461-01773b423254/mzaf_775469658771971591.plus.aac.p.m4a
Andam Hindolam (Remix),Revanth & K.S. Chithra,relaxed,0.3,0.5,80,Telugu,https://is1-ssl.mzstatic.com/image/thumb/Music49/v4/7a/d4/48/7ad448b0-7bbf-cdd9-e614-dd5547cac13f/cover.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/54/13/20/5413201f-eb1d-69f5-ba25-c4900a711ade/mzaf_5082842396034668166.plus.aac.p.m4a
"Shuru Karo (From ""Maestro"")",Revanth & Mahati Swara Sagar,fear,0.4,0.1,110,Telugu,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/bc/6d/2f/bc6d2f64-4396-450e-9a53-1502c2694b35/cover.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/f0/b3/e6/f0b3e6d5-b4e9-b90c-2d99-1a8a0dabfa28/mzaf_3695168549958245225.plus.aac.p.m4a
Amba Dari,Revanth & Shravana Bhargavi,relaxed,0.3,0.5,80,Telugu,https://is1-ssl.mzstatic.com/image/thumb/Music3/v4/4f/04/1c/4f041c5d-f5b8-83ea-7e7a-1f9ea251cd86/cover.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/1b/e4/78/1be4785d-b1d4-13ab-4dc9-216277bcfcc4/mzaf_10002309057915275767.plus.aac.p.m4a
Konchem Konchem,"Vijay Prakash, Deepu, M.M. Keeravani & Revanth",surprise,0.8,0.6,130,Telugu,https://is1-ssl.mzstatic.com/image/thumb/Music113/v4/62/09/a9/6209a9c0-924f-8393-3207-5e4257e008e9/886443479487.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/3e/b8/36/3eb836bd-7761-f7a2-4768-7065eaa85c1e/mzaf_13982965695299940155.plus.aac.p.m4a
"Saana Kastam (From ""Acharya"")","Revanth, Geetha Madhuri & Mani Sharma",relaxed,0.3,0.5,80,Telugu,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/f0/7e/fc/f07efc58-78a8-ff67-5ff9-be79631b6aff/cover.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/cd/7f/3e/cd7f3e13-edef-5c68-1de6-85ae21ba8f5d/mzaf_8397621889521418722.plus.aac.p.m4a
Theme of BRO,"Aditi Bhavaraju, Aditya Iyengar, Adviteeya, Anudeep, Arun Kaundinya, Damini Bhatla, Harika Narayan, Harini Ivaturi, Malavika, Pratyusha pallapothu, Pvns Rohith, Raghuram, Revanth, Sahiti Chaganti, Satya Yamini, Srikrishna, Tejaswini, Shivani, Pavani Vasa, Sruthika, Nada Priya, Vaagdevi, Lakshmi Meghana, Geethika Vasanth, Tejaswi (USA), Pranthi, Nigama, Maneesha, Keerthana Srinivas, Pravasthi, Amrutha Varshini, Chaitu Satsangi, Sai Sri Charan, Sudhanshu, Sai Charan Bhaskaruni, Maman Kumar, Ritesh G Rao, Saatwik, Arjun Vijay, na(.ra(.sim.ha.), Pavan Charan, Naresh Mamindla & Lakshmi Naidu",surprise,0.8,0.6,130,Telugu,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/4c/49/f8/4c49f8b0-a360-b8aa-cd6c-dd44ff169bc6/8905992227294.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/7a/11/58/7a1158a5-e07f-1028-7634-decb8097f3c3/mzaf_2605461463244526214.plus.aac.p.m4a
I Wanna Fly,"L.V. Revanth, Sanjith Hegde & Hiphop Tamizha",anger,0.9,0.2,130,Telugu,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/17/85/91/178591ba-293b-864f-22a7-d519d828a2ef/8903431666093_cover.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/66/e6/5c/66e65c87-f0d4-c150-5345-39b953cf6f1d/mzaf_2816812398552481410.plus.aac.p.m4a
Manohari,Mohana Bhogaraju & Revanth,motivated,0.9,0.7,140,Telugu,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/1a/8e/da/1a8edac5-80a7-22aa-c014-f4f1a0190f7a/8905750011301.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/8b/d5/c7/8bd5c73d-bb7b-393d-762f-31b5fb01aa30/mzaf_408973027187526590.plus.aac.p.m4a
Chesededo,Rahul Nambiar & Revanth,sadness,0.2,0.2,80,Telugu,https://is1-ssl.mzstatic.com/image/thumb/Music5/v4/30/8d/4a/308d4a3c-41b4-fdee-55b7-0f7187936082/cover.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/1e/2c/28/1e2c2818-d04b-a2d7-4a1f-faf4e62623a6/mzaf_14913286153360489776.plus.aac.p.m4a
"Theme of BRO (From ""BRO"") (From ""Theme of BRO (From ""BRO"")"")","Aditi Bhavaraju, Aditya Iyengar, Adviteeya, Anudeep, Arun Kaundinya, Damini Bhatla, Harika Narayan, Harini Ivaturi, Malavika, Pratyusha pallapothu, Pvns Rohith, Raghuram, Revanth, Sahiti Chaganti, Satya Yamini, Srikrishna, Tejaswini, Shivani, Pavani Vasa, Sruthika, Nada Priya, Vaagdevi, Lakshmi Meghana, Geethika Vasanth, Tejaswi (USA), Pranthi, Nigama, Maneesha, Keerthana Srinivas, Pravasthi, Amrutha Varshini, Chaitu Satsangi, Sai Sri Charan, Sudhanshu, Sai Charan Bhaskaruni, Maman Kumar, Ritesh G Rao, Saatwik, Arjun Vijay, na(.ra(*.sim.*ha.)., Pavan Charan, Naresh Mamindla, Lakshmi Naidu & Thaman S.",disgust,0.5,0.2,90,Telugu,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/18/6f/6d/186f6d8a-820d-9441-b664-ff5c444b3877/8905992206800.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/86/4f/2b/864f2bf1-81ad-9b79-175c-5f5b29f2cb31/mzaf_9293133591200262318.plus.aac.p.m4a
My Dear Markandeya,Revanth & Snigdha Sharma,love,0.4,0.8,95,Telugu,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/4c/49/f8/4c49f8b0-a360-b8aa-cd6c-dd44ff169bc6/8905992227294.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/a1/40/4f/a1404f33-0f85-b3a2-9b98-8b1051af47da/mzaf_3529387539680344526.plus.aac.p.m4a
One Boy One Girl,L.V. Revanth,motivated,0.9,0.7,140,Telugu,https://is1-ssl.mzstatic.com/image/thumb/Music113/v4/0e/3e/04/0e3e04f9-6732-2694-932e-9ffd47779f91/cover.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/9c/cf/97/9ccf9777-40c6-ab4a-a39b-aecfcaff821a/mzaf_16526717779210827560.plus.aac.p.m4a
